pose_id,feature_id,number_of_measurements,x,y,z,x_global,y_global,z_global
2,36,2,3.9023,-3.9727,0.0724,-0.8683,-0.9080,-0.0961
2,37,2,-0.0107,-2.7214,0.5712,1.6400,2.3432,0.4179
2,40,2,-0.1999,-2.8269,0.3267,1.6084,2.5560,0.1721
2,41,2,-1.2861,-1.5512,0.8953,3.1721,3.1427,0.7563
2,42,2,1.4257,-1.9985,2.2262,1.8090,0.7531,2.0816
2,47,2,-2.1732,-1.9364,2.1933,3.0986,4.1135,2.0495
2,48,2,-3.6786,1.7582,-1.1152,7.1230,4.2508,-1.2137
2,51,2,-1.6852,-2.6159,1.2356,2.3042,3.8833,1.0836
2,52,2,-1.3307,2.4468,0.2647,6.9512,1.8147,0.1746
2,53,2,0.3405,4.8965,2.8676,8.6515,-0.5825,2.8072
2,55,3,-4.1165,-2.5748,0.0499,3.1881,6.1490,-0.1016
2,56,2,1.2261,-5.8000,3.0421,-1.7041,2.2441,2.8510
2,57,2,-2.5111,0.9791,-0.7480,5.9874,3.4217,-0.8560
2,61,2,1.5954,-5.4283,-0.1645,-1.4443,1.7566,-0.3508
2,62,2,1.3555,2.3427,0.8399,5.9280,-0.6715,0.7485
2,66,2,-0.6250,-4.7610,2.8401,-0.0924,3.6274,2.6617
2,67,2,1.6052,-2.0158,-0.8112,1.7662,0.5776,-0.9558
2,68,2,-3.3068,0.5137,1.0847,5.8012,4.3362,0.9709
2,70,3,-2.2876,2.2196,2.8224,7.0356,2.8023,2.7293
2,72,2,-0.6386,-2.4448,0.8751,2.1112,2.8399,0.7252
2,73,2,-2.9397,0.4689,0.3134,5.6424,4.0034,0.1991
2,75,2,-4.9217,-0.1227,2.6666,5.7374,6.0780,2.5449
2,77,2,-1.7723,2.1872,1.8427,6.8401,2.3252,1.7493
2,80,3,0.2059,0.6531,2.6435,4.7129,0.9942,2.5313
2,81,2,0.7787,-5.7325,-0.2496,-1.4498,2.6277,-0.4397
2,82,2,-0.3999,-2.4950,1.2670,1.9779,2.6343,1.1164
2,91,2,3.9504,-2.0747,1.9686,0.8768,-1.5944,1.8231
2,92,3,-1.0288,2.5341,0.2165,6.9305,1.5010,0.1275
2,95,2,-1.8751,1.8654,2.3748,6.5668,2.5340,2.2775
2,97,2,2.3351,-0.9953,2.7191,2.4349,-0.4425,2.5867
2,98,2,0.6023,4.6781,2.7949,8.3576,-0.7542,2.7318
2,100,3,-3.1441,1.6255,2.1729,6.7778,3.8077,2.0726
2,101,2,2.8540,-1.1450,2.7972,2.1159,-0.8786,2.6630
2,105,3,-4.6988,0.7951,2.9116,6.5207,5.5557,2.8011
2,107,2,-2.7607,0.1854,2.8650,5.2856,3.9428,2.7470
2,110,2,-1.4084,-3.2253,0.8194,1.6417,3.8299,0.6599
2,112,2,-1.4411,1.9819,-1.1509,6.5684,2.0716,-1.2466
2,115,3,-0.0833,0.3904,-0.9859,4.6067,1.3406,-1.1010
2,117,2,-1.8996,1.6931,1.9507,6.4182,2.6141,1.8513
2,121,2,3.9038,-3.2533,-0.9018,-0.1816,-1.1595,-1.0614
2,122,2,0.4982,-2.7992,0.7972,1.3902,1.8925,0.6429
2,123,3,-2.9634,4.5176,2.2084,9.4330,2.6489,2.1434
2,126,2,2.9612,-0.8940,0.8160,2.3378,-1.0735,0.6850
2,127,2,2.2368,1.4160,-0.2424,4.7683,-1.1872,-0.3451
2,128,3,0.5464,4.2459,2.7945,7.9706,-0.5538,2.7262
2,130,3,-4.8276,0.5394,2.2749,6.3318,5.7615,2.1613
2,136,2,-1.4707,-3.6858,3.0296,1.2050,4.0552,2.8643
2,137,2,-2.7042,-0.9814,0.6219,4.1957,4.2794,0.4899
2,142,3,-1.5326,2.5052,2.4644,7.0499,1.9937,2.3748
2,145,2,0.0225,0.1755,1.4038,4.3411,1.3247,1.2859
2,147,2,2.4874,-0.9833,-0.7889,2.4344,-0.6044,-0.9209
2,152,2,-0.0358,2.9001,-0.3477,6.9412,0.4404,-0.4322
2,153,2,-1.3962,5.2990,-0.4977,9.6623,0.8977,-0.5529
2,155,3,0.4967,-1.6596,-0.1742,2.4727,1.5001,-0.3144
2,158,3,-4.1599,3.0826,2.1069,8.4951,4.2636,2.0244
2,161,2,-0.8001,-1.3519,2.8901,3.1702,2.6262,2.7534
2,162,2,2.8713,0.6759,1.1372,3.8400,-1.5245,1.0254
2,165,3,-3.2395,1.8882,0.5159,7.0762,3.8005,0.4189
2,166,2,0.2522,-0.2314,1.2131,3.8824,1.2472,1.0902
2,170,3,-4.1056,1.1422,2.7885,6.6455,4.8791,2.6822
2,171,2,1.8130,-5.4905,-0.4521,-1.5739,1.5722,-0.6392
2,172,2,1.5698,2.0680,2.7736,5.5743,-0.7708,2.6787
2,175,3,-4.3861,0.9761,2.0843,6.5934,5.1965,1.9761
2,177,2,1.9347,1.9550,2.8306,5.3428,-1.0748,2.7343
2,180,2,0.5102,0.1353,1.4272,4.1362,0.8802,1.3088
2,182,3,0.3989,-2.8020,2.2603,1.4048,1.9929,2.1059
2,186,2,-1.7080,-2.8126,1.1587,2.1281,3.9717,1.0042
2,187,2,-0.5270,2.8483,2.3093,7.0301,0.9308,2.2239
2,192,2,2.2795,-1.6265,0.9914,1.8807,-0.1816,0.8515
2,193,2,-2.0548,4.9601,-0.9411,9.5742,1.6306,-1.0005
2,195,2,-4.7678,-2.2963,3.0019,3.6385,6.6781,2.8536
2,196,2,-0.5720,-0.6714,3.0227,3.7301,2.1798,2.8943
2,197,2,2.6323,0.5629,1.1546,3.8154,-1.2613,1.0414
2,200,3,-0.3417,-2.3522,2.4510,2.0785,2.5358,2.3021
2,202,2,-2.3719,0.7781,0.0755,5.7415,3.3630,-0.0350
2,205,2,-4.1923,-2.6638,-0.4563,3.1362,6.2486,-0.6088
2,210,3,-1.8886,2.1066,2.8867,6.7922,2.4663,2.7922
2,211,2,3.7045,-4.1756,3.0550,-1.0256,-0.6403,2.8838
2,212,2,2.9442,0.1241,1.1424,3.2965,-1.4043,1.0238
2,213,3,-2.3500,0.2490,2.8285,5.2053,3.5349,2.7113
2,217,2,-1.4697,-2.5222,1.9122,2.3108,3.6516,1.7612
2,221,2,-0.4309,-4.7707,2.3314,-0.1621,3.4462,2.1530
2,222,2,2.5120,-1.5110,-0.8905,1.9313,-0.4474,-1.0289
2,223,2,0.8925,1.5326,2.0858,5.3108,0.0459,1.9844
2,226,2,-1.4427,-4.0657,3.0903,0.8377,4.1591,2.9204
2,227,2,1.9070,-1.5670,0.8003,2.0662,0.1473,0.6611
2,228,2,-3.7520,3.9634,1.2024,9.1936,3.5753,1.1307
2,230,2,-0.5486,-3.0441,0.8766,1.5172,2.9603,0.7193
2,231,2,0.5550,-0.1816,1.6782,3.8203,0.9476,1.5559
2,232,3,-0.8661,-2.8329,2.2048,1.8090,3.1919,2.0500
2,233,2,1.5881,1.8517,-0.7291,5.4051,-0.7286,-0.8265
2,237,2,1.3338,-2.1090,-1.2615,1.7766,0.8627,-1.4071
2,242,2,-2.6809,-0.4650,-1.0929,4.6926,4.0736,-1.2185
2,243,2,-2.4648,0.2137,2.8552,5.2110,3.6550,2.7376
2,245,3,-4.6168,-1.9807,0.2309,3.9152,6.4168,0.0867
2,247,2,-2.5265,-0.7318,2.2286,4.3509,4.0337,2.0995
2,248,2,-2.1774,0.0369,2.9413,4.9457,3.4457,2.8216
2,251,2,-1.2787,-3.7175,1.9508,1.1219,3.8811,1.7853
2,252,2,1.6918,2.0437,-0.7683,5.5505,-0.8919,-0.8632
2,253,3,1.0740,3.5165,2.3768,7.1096,-0.8019,2.2995
2,257,2,-2.1022,-1.8290,2.0828,3.1765,4.0097,1.9403
2,261,2,0.6460,-0.4746,2.8664,3.5001,0.9672,2.7404
2,262,2,2.6923,0.8263,0.2009,4.0533,-1.4117,0.0910
2,263,3,-3.9072,2.3771,0.9076,7.7595,4.2624,0.8165
2,267,2,-1.6083,-1.8569,1.9360,2.9831,3.5544,1.7932
2,273,2,1.4213,2.9501,2.5215,6.4569,-0.9340,2.4373
2,276,2,-0.2489,-0.8738,-0.7806,3.4730,1.9295,-0.9112
2,277,2,2.7740,-0.7862,0.0859,2.5116,-0.9375,-0.0437
2,278,3,0.5518,4.7227,0.4852,8.4433,-0.7316,0.4229
2,280,3,-0.9196,-2.7556,1.7761,1.9049,3.2139,1.6223
2,281,2,3.7775,-1.8299,1.6972,1.1691,-1.5167,1.5547
2,282,2,-0.8978,-2.3791,2.3506,2.2446,3.0671,2.2013
2,283,2,-3.8396,3.7336,1.1270,9.0084,3.7359,1.0525
2,285,2,-1.6367,-3.1145,2.0694,1.8095,4.0118,1.9112
2,286,2,1.5558,-5.5025,-1.1539,-1.4892,1.8150,-1.3411
2,287,2,2.7899,0.1055,1.8566,3.3236,-1.2499,1.7377
2,290,2,-4.8008,-0.6876,2.6474,5.1655,6.1575,2.5188
2,291,2,3.3392,-1.2588,0.5442,1.8689,-1.3051,0.4088
2,292,3,-0.6150,-2.8641,2.4282,1.6913,2.9676,2.2730
2,293,2,-3.6765,4.2746,-0.4487,9.4791,3.3910,-0.5165
2,295,3,-1.4154,-3.2761,-1.2189,1.6198,3.8454,-1.3789
2,296,2,-1.2164,-4.4533,0.3831,0.4272,4.0677,0.2087
2,297,2,2.7173,0.2549,1.9831,3.4874,-1.2324,1.8660
2,301,2,-0.9840,-4.6448,-0.4716,0.1776,3.9112,-0.6483
2,302,2,0.2086,-2.8172,-0.8789,1.4917,2.1638,-1.0333
2,305,3,-3.9168,1.2470,1.6923,6.6919,4.6611,1.5874
2,307,2,-0.5198,2.6534,2.5456,6.8417,0.9917,2.4578
2,308,2,-0.8372,-0.3192,2.3356,4.1596,2.3057,2.2115
2,310,2,-4.6406,-1.4350,-0.7726,4.4477,6.2483,-0.9101
2,312,2,-2.1905,-1.5567,2.7675,3.4547,4.0024,2.6283
2,313,3,-0.8056,5.1192,1.6227,9.2671,0.4131,1.5651
2,315,2,-0.4597,-2.7194,2.4112,1.7743,2.7721,2.2578
2,316,2,-0.5457,-4.6706,2.6799,-0.0328,3.5213,2.5026
2,317,2,0.8030,-2.7310,-0.2288,1.3619,1.5785,-0.3821
2,318,3,-0.8926,-0.2779,-1.0524,4.2563,2.3294,-1.1757
2,322,3,-2.2676,1.2096,1.5797,6.0940,3.1237,1.4743
2,323,3,0.3634,4.4158,2.0011,8.2019,-0.4433,1.9349
2,326,2,0.0318,-0.6450,-0.9957,3.5945,1.5865,-1.1235
2,327,2,-0.3281,-2.5761,2.7396,1.8602,2.6008,2.5879
2,328,2,-0.3075,4.8732,2.7165,8.8530,0.0337,2.6559
2,331,2,3.6521,-1.7433,2.1112,1.2886,-1.4269,1.9697
2,332,3,-0.2946,-2.8055,0.4641,1.6593,2.6382,0.3098
2,335,3,-5.1508,-1.0866,2.4584,4.9124,6.6221,2.3250
2,337,2,-2.4161,-1.6544,-0.8473,3.4816,4.2327,-0.9875
2,342,2,-1.0840,2.7588,1.8766,7.1414,1.4830,1.7901
2,343,2,0.8269,3.9199,2.1307,7.5759,-0.7087,2.0585
2,346,2,2.8287,-0.5410,0.1154,2.7228,-1.0726,-0.0112
2,347,2,0.4912,-2.5023,-1.2401,1.6950,1.7890,-1.3906
2,351,2,1.1540,-0.3825,1.0242,3.4342,0.4507,0.8994
2,353,3,-3.7915,2.6939,2.7700,7.9963,4.0531,2.6827
2,357,2,2.6686,0.5977,1.9310,3.8267,-1.3040,1.8181
2,360,2,-1.7130,2.0631,2.8905,6.6912,2.3162,2.7955
2,362,2,2.6741,-1.0415,2.8793,2.2737,-0.7446,2.7464
2,365,3,-3.8217,-3.1920,2.0253,2.4846,6.0913,1.8662
2,366,2,0.4476,-0.1028,2.0088,3.9273,1.0230,1.8874
2,367,2,2.5924,-0.5411,1.6055,2.7865,-0.8443,1.4788
2,372,3,-1.8917,-1.7040,1.9179,3.2239,3.7684,1.7769
2,373,3,1.4305,2.4688,0.6283,6.0232,-0.7859,0.5384
2,376,2,-1.3026,-2.7181,2.6788,2.0608,3.5648,2.5254
2,377,2,-1.9021,1.5889,-1.0603,6.3557,2.6396,-1.1608
2,380,2,0.0836,0.7871,2.8954,4.8778,1.0643,2.7848
2,383,3,1.4328,3.4199,2.5087,6.8946,-1.1055,2.4303
2,391,2,1.3233,-5.8416,-0.9626,-1.7305,2.1503,-1.1539
2,392,2,2.4968,0.1227,-0.6278,3.4686,-0.9908,-0.7462
2,395,3,-0.6686,-3.0746,-0.6131,1.5468,3.0772,-0.7706
2,397,3,2.4697,0.0958,2.6655,3.4147,-0.9424,2.5464
2,398,3,1.1958,1.4705,2.8956,5.1395,-0.2145,2.7933
3,3,3,0.1422,2.7684,2.4509,4.3600,1.1194,2.4679
3,8,2,-1.0091,-2.3456,-0.8556,9.6465,1.3611,-0.7578
3,9,2,4.4997,-1.0952,-0.4663,6.9203,6.3176,-0.5067
3,10,2,0.2555,2.7889,2.6538,4.3058,1.2265,2.6679
3,13,3,2.7028,-1.1728,-0.7303,7.4943,4.6071,-0.7291
3,14,2,5.5225,-3.6255,2.0854,9.0287,8.0468,2.0474
3,18,3,2.9149,-0.5854,2.6113,6.8168,4.7121,2.6005
3,23,2,2.6802,0.6982,0.9478,5.6749,4.1010,0.9294
3,28,3,2.6053,1.2915,2.3052,5.1031,3.8911,2.2819
3,29,2,1.8306,-1.2444,2.6096,7.7490,3.8519,2.6303
3,33,2,1.5795,2.0077,0.0396,4.7344,2.6648,0.0327
3,44,2,0.4572,-5.0175,-0.2851,11.8012,3.5181,-0.1928
3,48,2,2.4618,-0.7022,-1.2208,7.1165,4.2364,-1.2189
3,53,2,-2.6766,-0.8843,2.6851,8.6437,-0.5775,2.8042
3,54,2,1.6256,-1.2888,2.9131,7.8432,3.6728,2.9388
3,55,3,5.3530,2.5359,-0.0006,3.1875,6.1448,-0.0986
3,58,2,0.4913,2.5407,-1.2276,4.5427,1.4480,-1.2149
3,59,2,5.6010,-2.8744,2.4178,8.2798,7.9213,2.3700
3,60,2,1.8926,4.9301,2.3569,1.8015,2.2035,2.3116
3,62,2,-1.9744,1.7685,0.6740,5.9334,-0.6725,0.7501
3,63,2,1.7033,1.9131,1.2753,4.7711,2.8333,1.2662
3,68,2,2.8652,0.5089,0.9943,5.8051,4.3319,0.9737
3,69,2,1.1534,-5.9538,2.9317,12.4568,4.5063,3.0169
3,70,3,1.0141,-0.2679,2.6997,7.0339,2.7995,2.7287
3,73,2,2.6132,0.7636,0.2151,5.6425,4.0047,0.1978
3,74,2,5.3980,-2.9753,2.2145,8.4360,7.7502,2.1725
3,80,3,-0.0769,2.4590,2.5115,4.7168,0.9953,2.5367
3,83,2,-1.2033,-2.5655,2.6756,9.8537,1.3020,2.7790
3,85,2,4.4615,4.2684,1.6990,1.7403,4.8423,1.6025
3,92,3,-0.1478,0.2178,0.0815,6.9300,1.4994,0.1326
3,93,2,-0.5282,-2.4521,1.4519,9.5787,1.8963,1.5391
3,98,2,-2.7670,-0.5523,2.6158,8.3506,-0.7572,2.7336
3,100,3,2.0694,-0.2881,2.0629,6.7730,3.8072,2.0683
3,103,2,0.4513,-2.7388,-0.7186,9.6198,2.8757,-0.6500
3,105,3,3.8049,-0.5421,2.8357,6.5262,5.5598,2.8042
3,108,2,-2.8153,0.4935,1.8929,7.3706,-1.1059,2.0010
3,109,2,5.4002,-2.1048,2.5229,7.5937,7.5180,2.4716
3,115,3,0.3681,2.5002,-1.1163,4.6138,1.3430,-1.1005
3,118,2,1.7944,2.3071,2.2337,4.3516,2.8303,2.2182
3,119,2,5.8895,-4.3197,2.3608,9.5904,8.5961,2.3217
3,120,2,1.9982,-0.2470,-0.4051,6.7934,3.6807,-0.3978
3,123,3,0.2212,-2.5301,2.0781,9.4369,2.6498,2.1489
3,127,2,-2.1233,3.0422,-0.4053,4.7678,-1.1874,-0.3389
3,128,3,-2.4669,-0.2450,2.6194,7.9725,-0.5536,2.7271
3,130,3,4.0672,-0.4057,2.2061,6.3332,5.7623,2.1674
3,134,2,0.7877,-4.4564,-1.1786,11.1854,3.6640,-1.0994
3,135,2,1.8314,-0.3228,1.7878,6.8764,3.5829,1.7991
3,138,2,-1.6567,1.9177,2.2851,5.6760,-0.3778,2.3519
3,142,3,0.2484,-0.0562,2.3240,7.0477,1.9982,2.3683
3,143,2,-1.8090,1.9615,2.1189,5.6786,-0.5395,2.1888
3,144,2,5.8836,-4.3847,2.4868,9.6524,8.6107,2.4485
3,148,2,1.3808,-2.1874,2.6693,8.7784,3.6809,2.7101
3,150,2,5.4958,3.0751,2.6412,2.5868,6.1833,2.5335
3,152,2,-1.1522,0.5014,-0.5009,6.9438,0.4450,-0.4298
3,153,2,-1.4649,-2.2328,-0.6589,9.6605,0.8956,-0.5521
3,155,3,1.0886,4.5094,-0.2894,2.4705,1.4968,-0.3112
3,158,3,2.0367,-2.0668,1.9935,8.4927,4.2652,2.0183
3,160,2,0.1866,3.2237,2.5933,3.9078,1.0391,2.6045
3,163,2,-0.0388,-2.6915,1.5374,9.6725,2.4343,1.6160
3,165,3,2.0217,-0.5653,0.4097,7.0796,3.8065,0.4196
3,169,2,5.0575,-5.4279,-1.0210,10.9400,8.0383,-1.0286
3,170,3,3.1212,-0.4700,2.7034,6.6475,4.8803,2.6867
3,173,2,2.4166,-0.8440,0.6320,7.2350,4.2671,0.6359
3,174,2,2.3576,-1.0895,2.0897,7.4634,4.3057,2.0969
3,175,3,3.4571,-0.4930,2.0039,6.5885,5.1963,1.9800
3,182,3,1.8073,5.3764,2.1519,1.3994,1.9945,2.1039
