pose_id,feature_id,x,y,z,sigma_x,sigma_y,sigma_z
1,1,2.9403,-1.0103,-0.1967,0.0050,0.0050,0.0050
1,2,1.1086,0.0791,0.2350,0.0050,0.0050,0.0050
1,46,1.4928,-0.7319,-0.1074,0.0050,0.0050,0.0050
1,47,0.8777,0.1382,-0.0501,0.0050,0.0050,0.0050
1,61,-1.3339,2.7749,-1.3075,0.0050,0.0050,0.0050
1,76,3.0703,1.0230,2.6180,0.0050,0.0050,0.0050
1,77,0.2184,-0.7291,-0.3748,0.0050,0.0050,0.0050
1,91,-0.9460,2.1841,-1.3618,0.0050,0.0050,0.0050
1,107,-0.6818,-0.0757,1.9346,0.0050,0.0050,0.0050
1,121,2.6385,-0.2032,2.7946,0.0050,0.0050,0.0050
1,122,1.3377,2.6341,2.8031,0.0050,0.0050,0.0050
1,136,-0.0095,-0.0098,-0.4719,0.0050,0.0050,0.0050
1,181,0.7101,0.8351,-2.1307,0.0050,0.0050,0.0050
1,196,0.3295,-0.6978,1.5933,0.0050,0.0050,0.0050
1,212,-1.7710,1.7380,-0.6265,0.0050,0.0050,0.0050
1,226,-1.5662,-1.0362,1.9348,0.0050,0.0050,0.0050
1,227,2.2987,2.8441,0.5180,0.0050,0.0050,0.0050
1,241,0.4738,-1.6235,1.7586,0.0050,0.0050,0.0050
1,257,1.0071,-0.5612,1.8010,0.0050,0.0050,0.0050
1,331,0.2192,0.6567,-0.5066,0.0050,0.0050,0.0050
1,346,-0.1615,-0.3050,-0.3391,0.0050,0.0050,0.0050
1,347,4.2098,0.7337,1.1679,0.0050,0.0050,0.0050
1,376,0.2960,-0.9012,-0.0586,0.0050,0.0050,0.0050
1,451,1.6708,2.6493,3.1231,0.0050,0.0050,0.0050
1,467,0.5272,0.3115,4.2902,0.0050,0.0050,0.0050
1,481,0.1978,-1.4763,1.5716,0.0050,0.0050,0.0050
1,497,1.0096,0.1144,0.7946,0.0050,0.0050,0.0050
1,511,-2.7987,1.2726,0.8968,0.0050,0.0050,0.0050
1,512,3.4067,0.4478,3.4325,0.0050,0.0050,0.0050
1,541,-0.3496,0.0491,0.0293,0.0050,0.0050,0.0050
1,542,0.3267,-2.2743,0.9059,0.0050,0.0050,0.0050
1,556,0.0307,0.4102,-0.4828,0.0050,0.0050,0.0050
1,557,0.6223,-0.1303,-0.4574,0.0050,0.0050,0.0050
1,572,-0.6968,2.7822,1.6616,0.0050,0.0050,0.0050
1,586,0.4255,1.8167,2.3546,0.0050,0.0050,0.0050
1,617,1.2473,-0.8800,-1.4678,0.0050,0.0050,0.0050
1,631,-0.1502,0.2283,0.8383,0.0050,0.0050,0.0050
1,632,3.0338,-2.1103,-0.3672,0.0050,0.0050,0.0050
1,646,-0.1373,-0.2730,-0.8650,0.0050,0.0050,0.0050
1,647,-0.4732,-1.9672,-1.2647,0.0050,0.0050,0.0050
1,662,1.2559,-0.4703,0.9876,0.0050,0.0050,0.0050
1,676,-1.3385,0.2548,2.9484,0.0050,0.0050,0.0050
1,677,-0.5083,0.8964,-0.3002,0.0050,0.0050,0.0050
1,691,3.1032,-1.0622,3.0244,0.0050,0.0050,0.0050
1,706,-0.3849,2.4216,4.0407,0.0050,0.0050,0.0050
1,707,1.2118,-2.2239,-1.0494,0.0050,0.0050,0.0050
1,721,-0.0260,-0.2574,0.4172,0.0050,0.0050,0.0050
1,722,1.8531,2.0492,3.2816,0.0050,0.0050,0.0050
1,737,0.8233,0.0677,-0.4498,0.0050,0.0050,0.0050
1,751,0.3859,0.0204,1.4940,0.0050,0.0050,0.0050
1,767,-0.8725,-0.8994,0.8764,0.0050,0.0050,0.0050
1,782,1.7505,-2.4424,4.0164,0.0050,0.0050,0.0050
1,841,1.7034,-2.8050,1.6023,0.0050,0.0050,0.0050
1,842,4.1730,0.8360,1.9721,0.0050,0.0050,0.0050
1,871,2.4260,-1.4916,2.8618,0.0050,0.0050,0.0050
1,886,0.0812,1.7218,3.6069,0.0050,0.0050,0.0050
1,917,-0.2063,-0.1502,-0.6659,0.0050,0.0050,0.0050
1,977,1.4931,-0.0510,0.8067,0.0050,0.0050,0.0050
1,1007,0.8059,-0.1012,3.8270,0.0050,0.0050,0.0050
1,1022,3.3221,-1.8235,2.5208,0.0050,0.0050,0.0050
1,1051,0.5047,0.1463,1.0285,0.0050,0.0050,0.0050
1,1052,-0.5206,-1.2161,1.2062,0.0050,0.0050,0.0050
1,1081,0.2102,2.5716,-1.3076,0.0050,0.0050,0.0050
1,1111,2.2710,-2.1276,2.5129,0.0050,0.0050,0.0050
1,1126,0.1180,0.5312,0.8618,0.0050,0.0050,0.0050
1,1142,0.8394,0.2606,1.7020,0.0050,0.0050,0.0050
1,1156,0.3124,-0.1333,-0.6006,0.0050,0.0050,0.0050
1,1171,1.1993,-0.2592,2.0415,0.0050,0.0050,0.0050
1,1172,-0.4940,2.3078,-1.1810,0.0050,0.0050,0.0050
1,1186,-2.7522,-1.7842,-1.2227,0.0050,0.0050,0.0050
1,1187,0.6481,0.5414,0.0510,0.0050,0.0050,0.0050
2,1,1.9402,-1.0147,-0.1909,0.0050,0.0050,0.0050
2,2,0.1005,0.0833,0.2384,0.0050,0.0050,0.0050
2,17,-1.3428,1.6453,0.1303,0.0050,0.0050,0.0050
2,33,3.7056,1.5455,3.0035,0.0050,0.0050,0.0050
2,46,0.4906,-0.7166,-0.1083,0.0050,0.0050,0.0050
2,47,-0.1235,0.1347,-0.0491,0.0050,0.0050,0.0050
2,48,0.9562,0.4729,1.0684,0.0050,0.0050,0.0050
2,61,-2.3354,2.7688,-1.3115,0.0050,0.0050,0.0050
2,63,0.4338,-0.2380,-0.7419,0.0050,0.0050,0.0050
2,76,2.0819,1.0158,2.6129,0.0050,0.0050,0.0050
2,77,-0.7902,-0.7221,-0.3651,0.0050,0.0050,0.0050
2,91,-1.9462,2.1885,-1.3539,0.0050,0.0050,0.0050
2,93,3.8177,1.1925,0.9873,0.0050,0.0050,0.0050
2,107,-1.6834,-0.0774,1.9339,0.0050,0.0050,0.0050
2,108,1.3006,0.1135,0.8464,0.0050,0.0050,0.0050
2,121,1.6406,-0.2030,2.8155,0.0050,0.0050,0.0050
