pose_id,feature_id,number_of_measurements,x,y,z,x_global,y_global,z_global
1,1,2,2.9403,-1.0103,-0.1967,2.9403,-1.0103,-0.1967
1,2,2,1.1086,0.0791,0.2350,1.1086,0.0791,0.2350
1,46,2,1.4928,-0.7319,-0.1074,1.4928,-0.7319,-0.1074
1,47,2,0.8777,0.1382,-0.0501,0.8777,0.1382,-0.0501
1,61,2,-1.3339,2.7749,-1.3075,-1.3339,2.7749,-1.3075
1,76,2,3.0703,1.0230,2.6180,3.0703,1.0230,2.6180
1,77,2,0.2184,-0.7291,-0.3748,0.2184,-0.7291,-0.3748
1,91,2,-0.9460,2.1841,-1.3618,-0.9460,2.1841,-1.3618
1,107,2,-0.6818,-0.0757,1.9346,-0.6818,-0.0757,1.9346
1,121,2,2.6385,-0.2032,2.7946,2.6385,-0.2032,2.7946
1,122,2,1.3377,2.6341,2.8031,1.3377,2.6341,2.8031
1,136,2,-0.0095,-0.0098,-0.4719,-0.0095,-0.0098,-0.4719
1,181,2,0.7101,0.8351,-2.1307,0.7101,0.8351,-2.1307
1,196,2,0.3295,-0.6978,1.5933,0.3295,-0.6978,1.5933
1,212,2,-1.7710,1.7380,-0.6265,-1.7710,1.7380,-0.6265
1,226,2,-1.5662,-1.0362,1.9348,-1.5662,-1.0362,1.9348
1,227,2,2.2987,2.8441,0.5180,2.2987,2.8441,0.5180
1,241,2,0.4738,-1.6235,1.7586,0.4738,-1.6235,1.7586
1,257,2,1.0071,-0.5612,1.8010,1.0071,-0.5612,1.8010
1,331,2,0.2192,0.6567,-0.5066,0.2192,0.6567,-0.5066
1,346,2,-0.1615,-0.3050,-0.3391,-0.1615,-0.3050,-0.3391
1,347,2,4.2098,0.7337,1.1679,4.2098,0.7337,1.1679
1,376,2,0.2960,-0.9012,-0.0586,0.2960,-0.9012,-0.0586
1,451,2,1.6708,2.6493,3.1231,1.6708,2.6493,3.1231
1,467,2,0.5272,0.3115,4.2902,0.5272,0.3115,4.2902
1,481,2,0.1978,-1.4763,1.5716,0.1978,-1.4763,1.5716
1,497,2,1.0096,0.1144,0.7946,1.0096,0.1144,0.7946
1,511,2,-2.7987,1.2726,0.8968,-2.7987,1.2726,0.8968
1,512,2,3.4067,0.4478,3.4325,3.4067,0.4478,3.4325
1,541,2,-0.3496,0.0491,0.0293,-0.3496,0.0491,0.0293
1,542,2,0.3267,-2.2743,0.9059,0.3267,-2.2743,0.9059
1,556,2,0.0307,0.4102,-0.4828,0.0307,0.4102,-0.4828
1,557,2,0.6223,-0.1303,-0.4574,0.6223,-0.1303,-0.4574
1,572,2,-0.6968,2.7822,1.6616,-0.6968,2.7822,1.6616
1,586,2,0.4255,1.8167,2.3546,0.4255,1.8167,2.3546
1,617,2,1.2473,-0.8800,-1.4678,1.2473,-0.8800,-1.4678
1,631,2,-0.1502,0.2283,0.8383,-0.1502,0.2283,0.8383
1,632,2,3.0338,-2.1103,-0.3672,3.0338,-2.1103,-0.3672
1,646,2,-0.1373,-0.2730,-0.8650,-0.1373,-0.2730,-0.8650
1,647,2,-0.4732,-1.9672,-1.2647,-0.4732,-1.9672,-1.2647
1,662,2,1.2559,-0.4703,0.9876,1.2559,-0.4703,0.9876
1,676,2,-1.3385,0.2548,2.9484,-1.3385,0.2548,2.9484
1,677,2,-0.5083,0.8964,-0.3002,-0.5083,0.8964,-0.3002
1,691,2,3.1032,-1.0622,3.0244,3.1032,-1.0622,3.0244
1,706,2,-0.3849,2.4216,4.0407,-0.3849,2.4216,4.0407
1,707,2,1.2118,-2.2239,-1.0494,1.2118,-2.2239,-1.0494
1,721,2,-0.0260,-0.2574,0.4172,-0.0260,-0.2574,0.4172
1,722,2,1.8531,2.0492,3.2816,1.8531,2.0492,3.2816
1,737,2,0.8233,0.0677,-0.4498,0.8233,0.0677,-0.4498
1,751,2,0.3859,0.0204,1.4940,0.3859,0.0204,1.4940
1,767,2,-0.8725,-0.8994,0.8764,-0.8725,-0.8994,0.8764
1,782,2,1.7505,-2.4424,4.0164,1.7505,-2.4424,4.0164
1,841,2,1.7034,-2.8050,1.6023,1.7034,-2.8050,1.6023
1,842,2,4.1730,0.8360,1.9721,4.1730,0.8360,1.9721
1,871,2,2.4260,-1.4916,2.8618,2.4260,-1.4916,2.8618
1,886,2,0.0812,1.7218,3.6069,0.0812,1.7218,3.6069
1,917,2,-0.2063,-0.1502,-0.6659,-0.2063,-0.1502,-0.6659
1,977,2,1.4931,-0.0510,0.8067,1.4931,-0.0510,0.8067
1,1007,2,0.8059,-0.1012,3.8270,0.8059,-0.1012,3.8270
1,1022,2,3.3221,-1.8235,2.5208,3.3221,-1.8235,2.5208
1,1051,2,0.5047,0.1463,1.0285,0.5047,0.1463,1.0285
1,1052,2,-0.5206,-1.2161,1.2062,-0.5206,-1.2161,1.2062
1,1081,2,0.2102,2.5716,-1.3076,0.2102,2.5716,-1.3076
1,1111,2,2.2710,-2.1276,2.5129,2.2710,-2.1276,2.5129
1,1126,2,0.1180,0.5312,0.8618,0.1180,0.5312,0.8618
1,1142,2,0.8394,0.2606,1.7020,0.8394,0.2606,1.7020
1,1156,2,0.3124,-0.1333,-0.6006,0.3124,-0.1333,-0.6006
1,1171,2,1.1993,-0.2592,2.0415,1.1993,-0.2592,2.0415
1,1172,2,-0.4940,2.3078,-1.1810,-0.4940,2.3078,-1.1810
1,1186,2,-2.7522,-1.7842,-1.2227,-2.7522,-1.7842,-1.2227
1,1187,2,0.6481,0.5414,0.0510,0.6481,0.5414,0.0510
2,1,2,1.9402,-1.0147,-0.1909,2.9402,-1.0147,-0.1909
2,2,2,0.1005,0.0833,0.2384,1.1005,0.0833,0.2384
2,17,2,-1.3428,1.6453,0.1303,-0.3428,1.6453,0.1303
2,33,2,3.7056,1.5455,3.0035,4.7056,1.5455,3.0035
2,46,2,0.4906,-0.7166,-0.1083,1.4906,-0.7166,-0.1083
2,47,2,-0.1235,0.1347,-0.0491,0.8765,0.1347,-0.0491
2,48,2,0.9562,0.4729,1.0684,1.9562,0.4729,1.0684
2,61,2,-2.3354,2.7688,-1.3115,-1.3354,2.7688,-1.3115
2,63,2,0.4338,-0.2380,-0.7419,1.4338,-0.2380,-0.7419
2,76,2,2.0819,1.0158,2.6129,3.0819,1.0158,2.6129
2,77,2,-0.7902,-0.7221,-0.3651,0.2098,-0.7221,-0.3651
2,91,2,-1.9462,2.1885,-1.3539,-0.9462,2.1885,-1.3539
2,93,2,3.8177,1.1925,0.9873,4.8177,1.1925,0.9873
2,107,2,-1.6834,-0.0774,1.9339,-0.6834,-0.0774,1.9339
2,108,2,1.3006,0.1135,0.8464,2.3006,0.1135,0.8464
2,121,2,1.6406,-0.2030,2.8155,2.6406,-0.2030,2.8155
2,122,2,0.3387,2.6281,2.8105,1.3387,2.6281,2.8105
2,123,2,2.9834,-2.6213,0.6226,3.9834,-2.6213,0.6226
2,136,2,-1.0104,-0.0154,-0.4670,-0.0104,-0.0154,-0.4670
2,137,2,2.2896,0.1913,2.3936,3.2896,0.1913,2.3936
2,138,2,1.7701,1.6198,1.6063,2.7701,1.6198,1.6063
2,181,2,-0.2882,0.8370,-2.1373,0.7118,0.8370,-2.1373
2,182,2,-0.0019,-0.4239,0.4476,0.9981,-0.4239,0.4476
2,183,2,0.3809,-2.3311,2.4743,1.3809,-2.3311,2.4743
2,196,2,-0.6660,-0.6980,1.5860,0.3340,-0.6980,1.5860
2,197,2,0.0089,0.0039,4.4296,1.0089,0.0039,4.4296
2,212,2,-2.7582,1.7458,-0.6204,-1.7582,1.7458,-0.6204
2,213,2,-2.0024,1.0372,-0.5584,-1.0024,1.0372,-0.5584
2,226,2,-2.5713,-1.0276,1.9326,-1.5713,-1.0276,1.9326
2,227,2,1.2954,2.8418,0.5259,2.2954,2.8418,0.5259
2,241,2,-0.5242,-1.6250,1.7561,0.4758,-1.6250,1.7561
2,257,2,0.0233,-0.5571,1.7915,1.0233,-0.5571,1.7915
2,287,2,-0.3290,0.5445,0.0943,0.6710,0.5445,0.0943
2,303,2,1.5307,0.4220,-0.2454,2.5307,0.4220,-0.2454
2,331,2,-0.7819,0.6535,-0.5015,0.2181,0.6535,-0.5015
2,346,2,-1.1663,-0.3126,-0.3353,-0.1663,-0.3126,-0.3353
2,347,2,3.2012,0.7292,1.1700,4.2012,0.7292,1.1700
2,348,2,0.7927,0.4682,-0.0270,1.7927,0.4682,-0.0270
2,363,2,1.0361,-0.3251,-0.0283,2.0361,-0.3251,-0.0283
2,376,2,-0.7033,-0.9132,-0.0480,0.2967,-0.9132,-0.0480
