id,x,y,z,qw,qx,qy,qz,type
1,0.0000,0.0000,0.0000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,fixed
2,1.0000,0.0000,0.0000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,free
3,2.0000,0.0000,0.0000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,free
4,3.0000,0.0000,0.0000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,free
5,4.0000,0.0000,0.0000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,free
6,5.0000,0.0000,0.0000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,free
7,6.0000,0.0000,0.0000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,free
8,7.0000,0.0000,0.0000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,free
9,8.0000,0.0000,0.0000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,free
10,9.0000,0.0000,0.0000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,free
11,10.0000,0.0000,0.0000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,free
12,11.0000,0.0000,0.0000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,free
13,12.0000,0.0000,0.0000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,free
14,13.0000,0.0000,0.0000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,free
15,14.0000,0.0000,0.0000,1.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,free
